order_week,product_category_name_english,avg_price,planned_price,price_for_revenue,units_base,units_cal,revenue_base_price,revenue_cal_price
2018-10-15,costruction_tools_tools,117.264375,117.264375,117.264375,3.3254428,3.3254428,389.95597154025,389.95597154025
2018-10-22,costruction_tools_tools,117.264375,117.264375,117.264375,3.2860594,3.2860594,385.337701753875,385.337701753875
2018-10-29,costruction_tools_tools,117.264375,117.264375,117.264375,3.977076,3.977076,466.3693314675,466.3693314675
2018-09-10,diapers_and_hygiene,69.7225,69.7225,69.7225,1.0106312,1.0106312,70.463733842,70.463733842
2018-09-17,diapers_and_hygiene,69.7225,69.7225,69.7225,1.2910894,1.2910894,90.01798069149999,90.01798069149999
2018-09-24,diapers_and_hygiene,69.7225,69.7225,69.7225,0.98944813,0.98944813,68.986797243925,68.986797243925
2018-10-01,diapers_and_hygiene,69.7225,69.7225,69.7225,1.3437138,1.3437138,93.6870854205,93.6870854205
2018-10-08,diapers_and_hygiene,69.7225,69.7225,69.7225,1.0287348,1.0287348,71.725962093,71.725962093
2018-10-15,diapers_and_hygiene,69.7225,69.7225,69.7225,1.0110816,1.0110816,70.495136856,70.495136856
2018-10-22,diapers_and_hygiene,69.7225,69.7225,69.7225,1.0357257,1.0357257,72.21338511824999,72.21338511824999
2018-10-29,diapers_and_hygiene,69.7225,69.7225,69.7225,1.1261997,1.1261997,78.52145858325,78.52145858325
2018-09-10,drinks,48.84649305555556,43.16420138888889,43.16420138888889,6.360096,6.360096,274.5284645966667,274.5284645966667
2018-09-17,drinks,48.84649305555556,43.16420138888889,43.16420138888889,7.5187407,7.5187407,324.54043776563543,324.54043776563543
2018-09-24,drinks,48.84649305555556,43.16420138888889,43.16420138888889,5.414297,5.414297,233.70380608725696,233.70380608725696
2018-10-01,drinks,48.84649305555556,43.16420138888889,43.16420138888889,6.4915524,6.4915524,280.202675120125,280.202675120125
2018-10-08,drinks,48.84649305555556,43.16420138888889,43.16420138888889,6.1676183,6.1676183,266.22031839099657,266.22031839099657
2018-10-15,drinks,48.84649305555556,43.16420138888889,43.16420138888889,4.79788,4.79788,207.09665855972224,207.09665855972224
2018-10-22,drinks,48.84649305555556,43.16420138888889,43.16420138888889,5.8568892,5.8568892,252.80794494120835,252.80794494120835
2018-10-29,drinks,48.84649305555556,43.16420138888889,43.16420138888889,5.3990765,5.3990765,233.04682536001735,233.04682536001735
2018-09-10,dvds_blu_ray,47.25875,47.25875,47.25875,1.6886865,1.6886865,79.80521313187499,79.80521313187499
2018-09-17,dvds_blu_ray,47.25875,47.25875,47.25875,1.3670075,1.3670075,64.603065690625,64.603065690625
2018-09-24,dvds_blu_ray,47.25875,47.25875,47.25875,0.96002233,0.96002233,45.369455287887504,45.369455287887504
2018-10-01,dvds_blu_ray,47.25875,47.25875,47.25875,0.8589705,0.8589705,40.593872116875,40.593872116875
2018-10-08,dvds_blu_ray,47.25875,47.25875,47.25875,0.73025477,0.73025477,34.5109276117375,34.5109276117375
