order_week,product_category_name_english,cat_key,base_price,applied_pct,planned_price
2018-10-08,electronics,electronics,95.01823675775978,0.0,95.01823675775978
2018-10-08,fashio_female_clothing,fashio_female_clothing,36.865,0.0,36.865
2018-10-08,fashion_bags_accessories,fashion_bags_accessories,63.02113952020202,0.0,63.02113952020202
2018-10-08,fashion_childrens_clothes,fashion_childrens_clothes,52.489999999999995,0.0,52.489999999999995
2018-10-08,fashion_male_clothing,fashion_male_clothing,106.91,0.0,106.91
2018-10-08,fashion_shoes,fashion_shoes,173.0,0.0,173.0
2018-10-08,fashion_sport,fashion_sport,77.4,0.0,77.4
2018-10-08,fashion_underwear_beach,fashion_underwear_beach,69.9125,0.0,69.9125
2018-10-08,fixed_telephony,fixed_telephony,265.33458333333334,0.0,265.33458333333334
2018-10-08,flowers,flowers,44.08625,0.0,44.08625
2018-10-08,food,food,69.17852859177859,0.0,69.17852859177859
2018-10-08,food_drink,food_drink,43.81729166666667,0.0,43.81729166666667
2018-10-08,furniture_bedroom,furniture_bedroom,167.35,0.0,167.35
2018-10-08,furniture_decor,furniture_decor,92.95113070077865,0.0,92.95113070077865
2018-10-08,furniture_living_room,furniture_living_room,123.72369218200102,0.0,123.72369218200102
2018-10-08,furniture_mattress_and_upholstery,furniture_mattress_and_upholstery,114.975,0.0,114.975
2018-10-08,garden_tools,garden_tools,99.18884446007921,0.0,99.18884446007921
2018-10-08,health_beauty,health_beauty,128.99002586709415,0.1,141.88902845380358
2018-10-08,home_appliances,home_appliances,87.52751657572024,0.0,87.52751657572024
2018-10-08,home_appliances_2,home_appliances_2,524.9155000000001,0.0,524.9155000000001
2018-10-08,home_comfort_2,home_comfort_2,12.9,-0.05,12.254999999999999
2018-10-08,home_confort,home_confort,158.583375,0.0,158.583375
2018-10-08,home_construction,home_construction,179.10909161490684,0.0,179.10909161490684
2018-10-08,housewares,housewares,87.71028803061662,0.0,87.71028803061662
2018-10-08,industry_commerce_and_business,industry_commerce_and_business,262.48,0.05,275.60400000000004
2018-10-08,kitchen_dining_laundry_garden_furniture,kitchen_dining_laundry_garden_furniture,136.19035714285715,0.0,136.19035714285715
2018-10-08,la_cuisine,la_cuisine,194.5,0.0,194.5
2018-10-08,luggage_accessories,luggage_accessories,82.55378654970761,0.0,82.55378654970761
2018-10-08,market_place,market_place,121.46208333333333,0.0,121.46208333333333
2018-10-08,music,music,75.41333333333333,0.0,75.41333333333333
2018-10-08,musical_instruments,musical_instruments,244.7041319444444,0.0,244.7041319444444
2018-10-08,office_furniture,office_furniture,321.97749999999996,0.0,321.97749999999996
2018-10-08,party_supplies,party_supplies,90.47708333333333,0.0,90.47708333333333
2018-10-08,perfumery,perfumery,106.00153508205791,0.0,106.00153508205791
